Trial,Image,ImageStimulus,Stimuli,Emotion,Interference,Condition,Jitter
1,fixation,NA,0,NA,NA,NA,1700
2,Lake12,Lake12_Int,212,Pos,Int,Pos_Int,1700
3,2224,2224_Int,332,Pos,Int,Pos_Int,3400
4,CottonSwabs1,CottonSwabs1_Int,212,Neu,Int,Neu_Int,1700
5,9340,9340_Int,331,Neg,Int,Neg_Int,4250
6,5833,5833_NonInt,100,Pos,NonInt,Pos_NonInt,2550
7,9280,9280_Int,232,Neg,Int,Neg_Int,1700
8,2457,2457_Int,112,Neg,Int,Neg_Int,2550
9,Yarn4,Yarn4_Int,332,Neu,Int,Neu_Int,3400
10,1463,1463_NonInt,20,Pos,NonInt,Pos_NonInt,2550
11,2110,2110_Int,322,Neg,Int,Neg_Int,4250
12,2900,2900_NonInt,100,Neg,NonInt,Neg_NonInt,4250
13,5202,5202_NonInt,3,Pos,NonInt,Pos_NonInt,3400
14,Bricks1,Bricks1_NonInt,100,Neu,NonInt,Neu_NonInt,2550
15,5972,5972_Int,332,Neg,Int,Neg_Int,2550
16,5825,5825_NonInt,100,Pos,NonInt,Pos_NonInt,1700
17,Paper4,Paper4_Int,311,Neu,Int,Neu_Int,2550
18,5530,5530_NonInt,20,Neu,NonInt,Neu_NonInt,5950
19,Dirt4,Dirt4_NonInt,3,Neu,NonInt,Neu_NonInt,1700
20,Cat3,Cat3_NonInt,20,Pos,NonInt,Pos_NonInt,1700
21,Cold3,Cold3_NonInt,100,Neu,NonInt,Neu_NonInt,2550
22,OfficeSupplies2,OfficeSupplies2_NonInt,20,Neu,NonInt,Neu_NonInt,5100
23,2205,2205_Int,313,Neg,Int,Neg_Int,4250
24,1274,1274_NonInt,20,Neg,NonInt,Neg_NonInt,3400
25,7035,7035_Int,112,Neu,Int,Neu_Int,2550
26,1710,1710_Int,311,Pos,Int,Pos_Int,5100
27,RubberDuck1,RubberDuck1_Int,112,Pos,Int,Pos_Int,2550
28,Beach2,Beach2_NonInt,3,Pos,NonInt,Pos_NonInt,2550
29,2276,2276_Int,311,Neg,Int,Neg_Int,5100
30,2700,2700_NonInt,3,Neg,NonInt,Neg_NonInt,1700
31,2217,2217_NonInt,100,Pos,NonInt,Pos_NonInt,3400
32,9470,9470_Int,221,Neg,Int,Neg_Int,4250
33,CottonSwabs3,CottonSwabs3_NonInt,3,Neu,NonInt,Neu_NonInt,6800
34,Mother1,Mother1_Int,232,Pos,Int,Pos_Int,4250
35,1205,1205_int,221,Neg,Int,Neg_Int,2550
36,2703,2703_NonInt,100,Neg,NonInt,Neg_NonInt,6800
37,Grass1,Grass1_Int,232,Neu,Int,Neu_Int,2550
38,8492,8492_NonInt,20,Pos,NonInt,Pos_NonInt,1700
39,2791,2791_NonInt,3,Pos,NonInt,Pos_NonInt,2550
40,7014,7014_Int,313,Neu,Int,Neu_Int,3400
41,7045,7045_NonInt,100,Neu,NonInt,Neu_NonInt,5100
42,7380,7380_Int,212,Neg,Int,Neg_Int,1700
43,7000,7000_Int,211,Neu,Int,Neu_Int,1700
44,Street3,Street3_NonInt,100,Pos,NonInt,Pos_NonInt,3400
45,7059,7059_Int,322,Neu,Int,Neu_Int,1700
46,7025,7025_NonInt,20,Neu,NonInt,Neu_NonInt,1700
47,9930,9930_NonInt,100,Neg,NonInt,Neg_NonInt,5100
48,9291,9291_NonInt,20,Neg,NonInt,Neg_NonInt,5950
49,2347,2347_Int,313,Pos,Int,Pos_Int,1700
50,8485,8485_NonInt,100,Neg,NonInt,Neg_NonInt,1700
51,Rocks3,Rocks3_NonInt,3,Neu,NonInt,Neu_NonInt,1700
52,7056,7056_Int,221,Neu,Int,Neu_Int,1700
53,Bottle1,Bottle1_Int,131,Neu,Int,Neu_Int,2550
54,FireHydrant3,FireHydrant3_NonInt,100,Neu,NonInt,Neu_NonInt,5100
55,5600,5600_NonInt,20,Pos,NonInt,Pos_NonInt,2550
56,7004,7004_Int,331,Neu,Int,Neu_Int,2550
57,9495,9495_Int,131,Neg,Int,Neg_Int,3400
58,7235,7235_Int,233,Neu,Int,Neu_Int,4250
59,Paper3,Paper3_Int,212,Neu,Int,Neu_Int,1700
60,Nature1,Nature1_NonInt,3,Pos,NonInt,Pos_NonInt,1700
61,Rocks2,Rocks2_Int,332,Neu,Int,Neu_Int,3400
